,Unnamed: 0,customer_id,Transaction_count,number_of_purchase_in_weekend,number_of_purchase_in_weekday,most_common_city,diff_city,count_of_city,most_used_discount_code,Unique_Payment_Methods,Most_used_payment_method,First_order_date,Last_order_date,total_shipping_cost,total_discount,count_of_discounted_transactions,Gross_revenue,Net_revenue,AOV_per_customer,Net_revenue_excluding_shipping,Avg_Discount_per_Transaction,discounted_transaction_pct,recency_days,Customer_Lifespan_in_days,Avg_days_between_transaction,Customer_lifespan_in_months,Avg_transactions_per_month,plan_id,plan_start_date,plan_payment_timestamp,plan_payment_method,plan_name,plan_term,plan_price,status,expiry_date,churn_flag
1047,1047,CUST_01060,5,4,1,Lake Michaelchester,1,5,CODE_HIM,3,Credit Card,2024-10-20 00:04:00.000000,2025-03-09 04:48:32.069477,78.39,1192.77,3,13066.53,11952.15,2390.43,11873.76,238.55,60.0,82,222,44,7,1,PLAN_B,2024-08-05,2024-04-09 15:38:39.244295,PayPal,Premium Subscription,Annual,119.99,Active,2025-08-05,0
1048,1048,CUST_01061,3,0,3,East Robertside,1,3,,2,Debit Card,2024-04-29 17:19:49.895753,2024-07-26 11:51:34.920812,34.97,0.0,0,9183.12,9218.09,3072.7,9183.12,0.0,0.0,308,396,132,13,0,PLAN_A,2024-07-31,2024-08-13 13:54:34.027477,PayPal,Standard Subscription,Monthly,12.99,Active,2024-08-31,1
1049,1049,CUST_01062,7,7,0,Hendersonville,1,5,CODE_COLD,3,PayPal,2025-05-24 00:01:00.000000,2025-05-24 00:09:00.000000,128.2,3075.76,6,28627.52,25679.96,3668.57,25551.76,439.39,85.71,6,6,1,0,7,PLAN_A,2024-04-18,2024-11-07 08:10:59.365886,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-05-18,1
1050,1050,CUST_01063,8,2,6,South Katelynmouth,1,7,CODE_DIFFERENT,3,PayPal,2024-04-15 08:25:50.278504,2025-02-20 04:34:50.235728,123.13,1109.47,7,8934.02,7947.68,993.46,7824.55,138.68,87.5,99,410,51,14,1,PLAN_B,2025-02-07,2024-08-05 20:54:35.630249,Credit Card,Premium Subscription,Annual,119.99,Active,2026-02-07,0
1051,1051,CUST_01064,5,0,5,Brucehaven,1,4,CODE_AVOID,3,Credit Card,2025-03-19 00:01:00.000000,2025-04-07 16:50:29.463223,70.24,1378.13,4,11408.81,10100.92,2020.18,10030.68,275.63,80.0,53,72,14,2,2,PLAN_B,2025-01-17,2025-01-26 01:01:17.155100,Credit Card,Premium Subscription,Annual,119.99,Active,2026-01-17,0
1052,1052,CUST_01065,3,2,1,Katelynport,1,3,CODE_NEWSPAPER,2,PayPal,2024-11-02 00:01:00.000000,2025-01-04 12:38:39.364264,41.91,267.79999999999995,3,1996.54,1770.65,590.22,1728.74,89.27,100.0,146,209,70,7,0,PLAN_A,2024-12-17,2025-01-23 12:09:42.966443,PayPal,Standard Subscription,Monthly,12.99,Active,2025-01-17,1
1053,1053,CUST_01066,5,4,1,Hendersonville,1,4,CODE_AVOID,3,Credit Card,2024-03-10 03:15:48.294013,2024-09-27 06:22:48.675962,61.78,389.47,4,2951.55,2623.86,524.77,2562.0799999999995,77.89,80.0,245,446,89,15,0,PLAN_A,2025-05-03,2024-05-25 19:33:06.623846,PayPal,Standard Subscription,Monthly,12.99,Active,2025-06-03,0
1054,1054,CUST_01067,7,1,6,Smithmouth,1,6,CODE_ACTUALLY,3,Credit Card,2024-04-30 00:08:00.000000,2025-03-08 08:32:25.709984,128.06,1817.33,6,15602.0,13912.73,1987.53,13784.67,259.62,85.71,83,395,56,13,1,PLAN_B,2025-02-03,2024-06-21 17:19:10.133541,Credit Card,Premium Subscription,Annual,119.99,Active,2026-02-03,0
1055,1055,CUST_01068,4,1,3,Port Joseport,1,3,CODE_ACTUALLY,3,Credit Card,2024-01-19 15:42:16.963579,2025-04-16 06:06:59.901051,69.34,211.73,3,1971.68,1829.29,457.32,1759.95,52.93,75.0,44,497,124,17,0,PLAN_B,2024-09-26,2024-05-30 00:07:55.647671,Credit Card,Premium Subscription,Annual,119.99,Active,2025-09-26,0
1056,1056,CUST_01069,5,1,4,Hendersonville,1,4,CODE_ITS,2,Debit Card,2024-07-04 00:04:00.000000,2025-02-07 04:01:16.050269,91.32,1317.14,4,15804.27,14578.45,2915.69,14487.13,263.43,80.0,112,330,66,11,0,PLAN_A,2024-02-05,2024-08-21 10:50:27.753973,PayPal,Standard Subscription,Monthly,12.99,Active,2024-03-05,1
1057,1057,CUST_01070,5,2,3,Lake Alexanderchester,1,5,CODE_HIM,3,Credit Card,2024-04-20 00:01:00.000000,2025-01-30 05:11:43.289792,70.83,2246.81,4,25613.3,23437.32,4687.46,23366.49,449.36,80.0,120,405,81,14,0,PLAN_A,2024-08-11,2024-06-05 14:55:26.995086,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-09-11,1
1058,1058,CUST_01071,8,6,2,South Katelynmouth,1,6,CODE_COLD,3,Debit Card,2024-07-14 00:02:00.000000,2025-04-27 01:19:04.004671,120.6,1164.7,4,10523.76,9479.66,1184.96,9359.06,145.59,50.0,33,320,40,11,1,PLAN_B,2024-10-06,2025-05-09 05:26:05.388048,Credit Card,Premium Subscription,Annual,119.99,Active,2025-10-06,0
1059,1059,CUST_01072,13,4,9,Shellyshire,1,10,CODE_DIFFERENT,3,Debit Card,2024-06-10 15:18:32.175706,2025-05-18 01:25:16.278854,230.73,3330.25,10,34786.84,31687.32,2437.49,31456.59,256.17,76.92,12,354,27,12,1,PLAN_B,2025-04-28,2025-03-12 00:24:03.503358,Credit Card,Premium Subscription,Annual,119.99,Active,2026-04-28,0
1060,1060,CUST_01073,4,0,4,South Katelynmouth,1,3,CODE_ACTUALLY,2,Debit Card,2025-05-15 00:01:00.000000,2025-05-15 00:09:00.000000,69.41,96.63,2,3507.3,3480.08,870.02,3410.67,24.16,50.0,15,15,4,0,4,PLAN_A,2024-05-09,2025-03-28 17:02:57.202411,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-06-09,1
1061,1061,CUST_01074,1,0,1,Katelynport,0,1,,1,Credit Card,2025-02-25 00:06:00.000000,2025-02-25 00:06:00.000000,23.01,0.0,0,2110.68,2133.69,2133.69,2110.68,0.0,0.0,94,94,0,3,0,PLAN_A,2024-12-22,2024-08-01 12:38:11.317189,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-01-22,1
1062,1062,CUST_01075,2,0,2,New Danielleside,1,2,CODE_AVOID,1,Debit Card,2025-02-06 00:01:00.000000,2025-02-06 00:07:00.000000,46.64,286.73,2,2378.06,2137.97,1068.98,2091.33,143.36,100.0,113,113,56,4,0,PLAN_B,2024-02-04,2025-03-30 17:33:28.093714,Credit Card,Premium Subscription,Annual,119.99,Active,2025-02-04,1
1063,1063,CUST_01076,5,1,4,Belindaport,1,5,CODE_ACTUALLY,3,PayPal,2024-02-03 06:47:59.121176,2025-04-14 19:49:34.587009,70.39,1400.18,5,12898.96,11569.17,2313.83,11498.78,280.04,100.0,46,482,96,16,0,PLAN_B,2024-10-16,2024-11-21 13:04:32.660712,PayPal,Premium Subscription,Annual,119.99,Active,2025-10-16,0
1064,1064,CUST_01077,2,0,2,Kimberlyshire,0,1,CODE_ITS,2,Debit Card,2025-04-22 08:37:40.521128,2025-04-22 08:41:01.224157,34.49,623.26,2,8156.79,7568.02,3784.01,7533.530000000001,311.63,100.0,38,38,19,1,2,PLAN_A,2024-04-30,2025-02-02 20:35:21.078688,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-05-30,1
1065,1065,CUST_01078,5,1,4,Hallville,1,5,CODE_AVOID,3,Credit Card,2024-11-05 15:58:40.353336,2025-04-29 14:57:43.765230,76.13,1516.03,4,20180.93,18741.03,3748.21,18664.9,303.21,80.0,31,206,41,7,1,PLAN_B,2024-08-12,2024-11-01 14:20:04.694928,PayPal,Premium Subscription,Annual,119.99,Active,2025-08-12,0
1066,1066,CUST_01079,12,5,7,North Williamville,1,10,CODE_RISK,3,Debit Card,2024-06-09 00:06:00.000000,2025-05-30 07:19:17.573167,158.9,1507.44,7,17230.99,15882.45,1323.54,15723.55,125.62,58.33,0,355,30,12,1,PLAN_B,2024-05-31,2024-04-22 01:00:30.698375,Credit Card,Premium Subscription,Annual,119.99,Active,2025-05-31,0
1067,1067,CUST_01080,3,0,3,East Matthewton,1,3,CODE_ITS,3,Credit Card,2025-04-02 00:04:00.000000,2025-04-02 00:08:00.000000,57.06,1239.35,3,13257.81,12075.52,4025.17,12018.46,413.12,100.0,58,58,19,2,2,PLAN_B,2024-04-08,2024-05-25 23:31:35.017817,PayPal,Premium Subscription,Annual,119.99,Active,2025-04-08,1
1068,1068,CUST_01081,4,0,4,East Robertside,1,4,CODE_MODEL,2,Debit Card,2024-05-31 00:01:00.000000,2025-04-23 13:40:10.490968,65.6,486.66,3,7768.21,7347.150000000001,1836.79,7281.55,121.66,75.0,37,364,91,12,0,PLAN_A,2024-08-24,2024-12-16 05:28:41.941482,PayPal,Standard Subscription,Monthly,12.99,Active,2024-09-24,1
1069,1069,CUST_01082,3,2,1,Alecchester,1,3,CODE_AVOID,2,PayPal,2025-01-05 06:07:29.716149,2025-05-13 07:16:41.837762,56.57,336.16,1,6867.19,6587.6,2195.87,6531.030000000001,112.05,33.33,17,145,48,5,1,PLAN_A,2024-01-01,2024-09-27 13:57:18.755265,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-02-01,1
1070,1070,CUST_01083,6,5,1,West Clintonberg,1,5,CODE_DECADE,3,Credit Card,2025-05-18 00:02:00.000000,2025-05-21 22:58:26.980162,114.87,1302.6,4,10969.08,9781.35,1630.22,9666.479999999998,217.1,66.67,9,12,2,0,6,PLAN_A,2024-12-09,2024-03-30 06:43:32.170485,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-01-09,1
1071,1071,CUST_01084,3,2,1,Lake Emilyland,1,2,CODE_CASE,2,PayPal,2024-07-15 00:08:00.000000,2024-10-06 23:29:41.220294,53.2,1388.15,3,9557.6,8222.65,2740.88,8169.45,462.72,100.0,236,319,106,11,0,PLAN_A,2025-01-07,2025-03-30 09:43:06.270670,PayPal,Standard Subscription,Monthly,12.99,Active,2025-02-07,1
1072,1072,CUST_01085,15,12,3,Lake Michaelchester,1,9,CODE_FLOOR,3,PayPal,2025-03-23 00:01:00.000000,2025-05-17 09:33:30.406081,183.54,3865.07,10,36251.75,32570.22,2171.35,32386.68,257.67,66.67,13,68,5,2,8,PLAN_A,2025-04-18,2024-11-22 00:55:38.939157,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-05-18,1
1073,1073,CUST_01086,7,1,6,Kimberlyshire,1,5,CODE_ACTUALLY,3,Credit Card,2024-04-26 00:36:28.667250,2025-05-06 04:26:26.878313,126.1,1533.74,5,17508.74,16101.1,2300.16,15975.0,219.11,71.43,24,399,57,13,1,PLAN_A,2025-04-01,2025-04-11 13:03:17.485336,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-05-01,1
1074,1074,CUST_01087,8,6,2,Onealland,1,6,CODE_BALL,3,PayPal,2024-09-01 00:05:00.000000,2024-12-29 03:50:52.238497,135.09,1115.67,4,21901.84,20921.26,2615.16,20786.17,139.46,50.0,152,271,34,9,1,PLAN_B,2024-10-28,2025-03-22 23:31:52.251213,Credit Card,Premium Subscription,Annual,119.99,Active,2025-10-28,0
1075,1075,CUST_01088,2,1,1,Lake Emilyland,1,2,CODE_OUTSIDE,2,Credit Card,2024-06-17 19:41:13.107842,2024-08-25 12:44:40.286613,15.27,87.67,1,1846.23,1773.83,886.92,1758.56,43.84,50.0,278,347,174,12,0,PLAN_B,2025-01-20,2025-04-09 07:05:20.733079,PayPal,Premium Subscription,Annual,119.99,Active,2026-01-20,0
1076,1076,CUST_01089,6,0,6,Brucehaven,1,5,CODE_COLD,3,Debit Card,2024-06-18 05:56:26.290067,2025-04-21 23:55:36.345441,77.15,652.59,3,12221.1,11645.66,1940.94,11568.51,108.76,50.0,38,346,58,12,0,PLAN_A,2025-04-05,2024-06-28 10:34:29.146712,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-05-05,1
1077,1077,CUST_01090,4,4,0,West Donald,1,3,,3,Debit Card,2024-12-29 00:04:00.000000,2025-02-15 23:05:02.300054,58.22,0.0,0,2591.01,2649.23,662.31,2591.01,0.0,0.0,104,152,38,5,1,PLAN_B,2024-01-06,2024-10-02 23:22:00.596329,Credit Card,Premium Subscription,Annual,119.99,Active,2025-01-06,1
1078,1078,CUST_01091,5,0,5,North Karen,1,4,CODE_MODEL,2,Credit Card,2024-08-29 00:01:00.000000,2025-04-11 17:34:10.089867,72.32,515.85,2,6039.95,5596.42,1119.28,5524.1,103.17,40.0,49,274,55,9,1,PLAN_B,2024-03-13,2024-05-17 15:44:11.115896,Credit Card,Premium Subscription,Annual,119.99,Active,2025-03-13,1
1079,1079,CUST_01092,5,0,5,Brittanymouth,1,4,CODE_CASE,3,Debit Card,2024-11-04 22:28:58.273040,2025-04-25 04:29:22.547784,68.93,1201.48,4,8638.04,7505.49,1501.1,7436.559999999999,240.3,80.0,35,207,41,7,1,PLAN_B,2025-05-04,2024-03-23 15:54:24.225399,PayPal,Premium Subscription,Annual,119.99,Active,2026-05-04,0
1080,1080,CUST_01093,2,1,1,Lake Michaelchester,1,2,CODE_AVOID,2,Debit Card,2025-01-11 00:07:00.000000,2025-03-27 08:51:44.922299,27.92,6.68,1,200.88,222.12,111.06,194.2,3.34,50.0,64,139,70,5,0,PLAN_A,2025-04-22,2025-04-06 09:19:19.896827,PayPal,Standard Subscription,Monthly,12.99,Active,2025-05-22,1
1081,1081,CUST_01094,6,2,4,Belindaport,1,6,CODE_COLD,3,Credit Card,2024-09-04 22:31:00.497339,2025-04-17 12:20:42.073691,97.15,374.99,3,9416.1,9138.26,1523.04,9041.11,62.5,50.0,43,268,45,9,1,PLAN_B,2024-01-03,2025-02-25 05:18:19.731842,Credit Card,Premium Subscription,Annual,119.99,Active,2025-01-03,1
1082,1082,CUST_01095,6,1,5,Brucehaven,1,5,CODE_ITS,3,PayPal,2024-12-18 00:01:00.000000,2024-12-29 17:12:18.276246,81.24,786.52,2,11855.51,11150.23,1858.37,11068.99,131.09,33.33,152,163,27,5,1,PLAN_A,2024-10-03,2024-05-14 20:15:05.023345,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-11-03,1
1083,1083,CUST_01096,8,0,8,Davieston,1,6,CODE_COLD,2,Debit Card,2024-03-06 00:01:00.000000,2025-01-22 23:24:25.432537,139.53,1153.1,4,17895.36,16881.79,2110.22,16742.260000000002,144.14,50.0,128,450,56,15,1,PLAN_B,2024-11-09,2024-03-05 09:53:49.141694,PayPal,Premium Subscription,Annual,119.99,Active,2025-11-09,0
1084,1084,CUST_01097,9,4,5,Belindaport,1,6,CODE_DECADE,3,Credit Card,2024-07-27 00:03:00.000000,2025-05-02 17:17:07.502741,134.22,2623.23,7,24372.86,21883.85,2431.54,21749.63,291.47,77.78,28,307,34,10,1,PLAN_A,2024-09-01,2024-01-17 05:35:11.687447,PayPal,Standard Subscription,Monthly,12.99,Active,2024-10-01,1
1085,1085,CUST_01098,7,0,7,Johnsonstad,1,7,CODE_FLOOR,3,Credit Card,2025-01-22 00:02:00.000000,2025-05-26 06:22:24.552665,93.26,833.7,4,14760.72,14020.28,2002.9,13927.02,119.1,57.14,4,128,18,4,2,PLAN_A,2024-10-23,2025-04-21 10:55:20.416935,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-11-23,1
1086,1086,CUST_01099,2,2,0,Evansville,1,2,CODE_DECADE,2,Debit Card,2024-12-08 00:04:00.000000,2024-12-08 00:05:00.000000,25.87,221.81,2,1744.22,1548.28,774.14,1522.41,110.9,100.0,173,173,86,6,0,PLAN_B,2025-05-23,2024-07-17 03:41:50.528053,Credit Card,Premium Subscription,Annual,119.99,Active,2026-05-23,0
1087,1087,CUST_01100,7,0,7,Brittanymouth,1,7,CODE_AVOID,2,Debit Card,2024-11-21 00:01:00.000000,2025-03-25 02:25:12.060178,117.23,2062.16,4,20685.75,18740.82,2677.26,18623.59,294.59,57.14,66,190,27,6,1,PLAN_A,2024-05-04,2024-05-09 14:41:02.317433,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-06-04,1
1088,1088,CUST_01101,5,1,4,Floresfort,1,4,CODE_AVOID,3,Credit Card,2024-05-21 00:02:00.000000,2025-01-27 05:43:20.273938,79.75,302.37,2,5340.09,5117.47,1023.49,5037.72,60.47,40.0,123,374,75,12,0,PLAN_A,2024-12-19,2025-01-31 23:40:50.341454,PayPal,Standard Subscription,Monthly,12.99,Active,2025-01-19,1
1089,1089,CUST_01102,3,3,0,Floresfort,1,2,CODE_BALL,2,PayPal,2024-09-14 00:03:00.000000,2024-09-14 00:09:00.000000,42.92,355.65,1,6238.99,5926.26,1975.42,5883.34,118.55,33.33,258,258,86,9,0,PLAN_A,2025-05-19,2025-03-01 20:48:56.338816,PayPal,Standard Subscription,Monthly,12.99,Active,2025-06-19,0
1090,1090,CUST_01103,8,4,4,West Clintonberg,1,6,CODE_OUTSIDE,3,PayPal,2024-07-20 00:01:00.000000,2025-01-06 09:06:37.544932,106.51,767.52,6,11476.42,10815.41,1351.93,10708.9,95.94,75.0,144,314,39,10,1,PLAN_B,2024-09-10,2024-11-20 10:45:46.419739,Credit Card,Premium Subscription,Annual,119.99,Active,2025-09-10,0
1091,1091,CUST_01104,3,0,3,East Matthewton,1,3,CODE_CASE,2,Debit Card,2025-02-25 00:04:00.000000,2025-05-15 19:28:33.636741,44.17,1902.79,3,10396.42,8537.8,2845.93,8493.63,634.26,100.0,15,94,31,3,1,PLAN_B,2025-04-13,2025-03-05 01:47:24.539697,PayPal,Premium Subscription,Annual,119.99,Active,2026-04-13,0
1092,1092,CUST_01105,2,0,2,Evansville,1,2,CODE_MODEL,2,Credit Card,2025-03-07 00:05:00.000000,2025-03-13 18:38:02.502568,29.67,201.59,1,1963.65,1791.73,895.86,1762.06,100.8,50.0,78,84,42,3,1,PLAN_B,2024-05-17,2024-02-25 17:41:54.289511,Credit Card,Premium Subscription,Annual,119.99,Active,2025-05-17,1
1093,1093,CUST_01106,4,1,3,East Matthewton,1,2,CODE_DECADE,2,Debit Card,2024-12-07 11:58:04.354994,2025-05-05 01:54:34.125295,60.54,1028.38,2,16644.5,15676.66,3919.16,15616.12,257.1,50.0,25,174,44,6,1,PLAN_B,2024-05-31,2024-03-19 00:01:37.553053,PayPal,Premium Subscription,Annual,119.99,Active,2025-05-31,0
1094,1094,CUST_01107,5,3,2,Rojasstad,1,4,CODE_BALL,3,Debit Card,2024-05-25 01:04:34.739243,2025-04-05 05:03:27.233159,83.19,703.07,3,12594.92,11975.04,2395.01,11891.85,140.61,60.0,55,370,74,12,0,PLAN_A,2024-10-16,2024-01-25 20:44:28.335742,PayPal,Standard Subscription,Monthly,12.99,Active,2024-11-16,1
1095,1095,CUST_01108,5,0,5,Lake Alexanderchester,1,4,CODE_SAVE,3,Credit Card,2025-01-14 00:04:00.000000,2025-04-23 11:33:27.168348,76.58,2284.29,4,17856.33,15648.62,3129.72,15572.04,456.86,80.0,37,136,27,5,1,PLAN_A,2024-11-07,2025-05-03 17:39:14.544963,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-12-07,1
1096,1096,CUST_01109,5,5,0,Brittanymouth,1,5,CODE_OUTSIDE,2,PayPal,2025-01-18 00:04:00.000000,2025-01-18 00:08:00.000000,69.61,1007.67,2,14612.41,13674.35,2734.87,13604.74,201.53,40.0,132,132,26,4,1,PLAN_B,2024-10-01,2024-12-03 13:12:59.102817,Credit Card,Premium Subscription,Annual,119.99,Active,2025-10-01,0
1097,1097,CUST_01110,8,0,8,Lake Emilyland,1,7,CODE_ENVIRONMENT,3,Debit Card,2024-11-28 00:03:00.000000,2024-11-28 00:09:00.000000,104.19,1332.51,2,22808.44,21580.12,2697.52,21475.93,166.56,25.0,183,183,23,6,1,PLAN_B,2025-05-05,2024-10-20 00:12:53.851752,Credit Card,Premium Subscription,Annual,119.99,Active,2026-05-05,0
1098,1098,CUST_01111,10,2,8,Lake Emilyland,1,9,CODE_ACTUALLY,3,Debit Card,2024-02-01 00:05:00.000000,2025-02-02 13:03:31.910613,132.67000000000002,3268.04,8,26476.1,23340.73,2334.07,23208.06,326.8,80.0,117,484,48,16,1,PLAN_B,2025-03-01,2024-11-16 06:49:05.726660,Credit Card,Premium Subscription,Annual,119.99,Active,2026-03-01,0
1099,1099,CUST_01112,9,6,3,Brucehaven,1,9,CODE_ACTUALLY,2,Debit Card,2025-02-23 00:05:00.000000,2025-05-27 15:20:15.891484,128.88,2678.2200000000003,5,27224.89,24675.55,2741.73,24546.67,297.58,55.56,3,96,11,3,3,PLAN_B,2024-11-04,2024-01-03 01:53:00.173621,Credit Card,Premium Subscription,Annual,119.99,Active,2025-11-04,0
1100,1100,CUST_01113,5,1,4,Katelynport,1,4,CODE_BALL,3,Credit Card,2024-12-20 00:02:00.000000,2025-05-17 05:28:18.920187,82.60000000000001,1113.99,4,8172.24,7140.85,1428.17,7058.25,222.8,80.0,13,161,32,5,1,PLAN_A,2024-03-11,2024-01-04 21:41:17.117359,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-04-11,1
1101,1101,CUST_01114,9,2,7,Kimberlyshire,1,6,CODE_BALL,3,Debit Card,2024-07-23 00:02:00.000000,2025-04-29 20:39:00.123766,160.8,2987.88,6,30679.99,27852.91,3094.77,27692.11,331.99,66.67,31,311,35,10,1,PLAN_B,2024-11-15,2024-01-15 22:13:27.807914,PayPal,Premium Subscription,Annual,119.99,Active,2025-11-15,0
1102,1102,CUST_01115,2,0,2,New Danielleside,1,2,CODE_ITS,2,Debit Card,2025-02-14 01:14:13.474657,2025-02-28 03:08:28.536541,31.65,26.1,1,1516.3200000000002,1521.87,760.94,1490.2199999999998,13.05,50.0,91,105,52,4,0,PLAN_B,2024-01-02,2024-07-26 21:25:49.393160,PayPal,Premium Subscription,Annual,119.99,Active,2025-01-02,1
1103,1103,CUST_01116,6,0,6,Brucehaven,1,6,CODE_SAVE,3,Debit Card,2024-10-22 00:01:00.000000,2025-01-29 16:11:10.892444,101.86,1153.14,6,10805.12,9753.84,1625.64,9651.98,192.19,100.0,121,220,37,7,1,PLAN_A,2024-12-11,2024-08-10 09:15:01.254766,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-01-11,1
1104,1104,CUST_01117,9,7,2,Martinezshire,1,6,CODE_ACTUALLY,3,PayPal,2025-03-09 00:01:00.000000,2025-04-08 14:27:02.536612,131.45,376.69,4,11262.48,11017.24,1224.14,10885.79,41.85,44.44,52,82,9,3,3,PLAN_A,2024-10-29,2024-10-28 14:35:39.439182,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-11-29,1
1105,1105,CUST_01118,3,0,3,Hendersonville,1,2,CODE_THOSE,2,Debit Card,2024-06-06 00:03:00.000000,2024-07-09 16:58:39.390222,48.84,273.28,1,4550.65,4326.21,1442.07,4277.37,91.09,33.33,325,358,119,12,0,PLAN_A,2025-03-20,2024-04-03 05:50:40.061438,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-04-20,1
1106,1106,CUST_01119,7,0,7,East Robertside,1,6,CODE_AVOID,3,Credit Card,2024-01-25 10:25:06.303421,2025-04-21 19:43:18.099451,107.69,2715.5,6,18304.5,15696.69,2242.38,15588.999999999998,387.93,85.71,39,491,70,16,0,PLAN_A,2024-04-02,2024-01-20 13:09:49.665734,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-05-02,1
1107,1107,CUST_01120,2,0,2,Alecchester,1,2,CODE_BALL,2,Credit Card,2024-09-25 00:04:00.000000,2025-01-31 09:26:31.895092,32.57,110.52,2,1024.8,946.85,473.42,914.28,55.26,100.0,119,247,124,8,0,PLAN_A,2024-04-22,2024-12-19 06:15:24.607070,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-05-22,1
1108,1108,CUST_01121,8,1,7,Davieston,1,8,CODE_HIM,3,Credit Card,2024-05-31 00:04:00.000000,2024-12-21 16:02:02.466982,142.11,1227.88,7,14646.259999999998,13560.49,1695.06,13418.38,153.49,87.5,160,364,46,12,1,PLAN_B,2024-04-04,2024-10-22 06:14:27.319004,Credit Card,Premium Subscription,Annual,119.99,Active,2025-04-04,1
1109,1109,CUST_01122,4,1,3,Davieston,1,4,CODE_AVOID,1,PayPal,2024-07-31 00:05:00.000000,2025-05-28 08:24:11.581058,56.3,2226.87,4,13331.56,11160.99,2790.25,11104.69,556.72,100.0,2,303,76,10,0,PLAN_B,2024-12-25,2024-04-21 04:19:45.366961,Credit Card,Premium Subscription,Annual,119.99,Active,2025-12-25,0
1110,1110,CUST_01123,3,0,3,Evansville,1,3,CODE_CASE,2,Credit Card,2024-02-28 00:06:00.000000,2024-09-30 05:11:45.308574,54.57,298.04,3,2837.7200000000003,2594.25,864.75,2539.68,99.35,100.0,242,457,152,15,0,PLAN_B,2024-12-18,2024-04-05 00:12:26.237074,Credit Card,Premium Subscription,Annual,119.99,Active,2025-12-18,0
1111,1111,CUST_01124,4,3,1,Brucehaven,1,4,CODE_COLD,2,Credit Card,2025-01-05 13:26:11.173664,2025-03-16 16:46:01.139047,66.43,1455.76,3,15417.23,14027.9,3506.98,13961.47,363.94,75.0,75,145,36,5,1,PLAN_A,2024-09-01,2024-02-20 01:12:19.079895,PayPal,Standard Subscription,Monthly,12.99,Active,2024-10-01,1
1112,1112,CUST_01125,5,2,3,East Robertside,1,3,CODE_AVOID,3,Credit Card,2024-09-24 00:05:00.000000,2025-03-02 22:16:18.008420,59.39,1001.55,4,12748.09,11805.93,2361.19,11746.54,200.31,80.0,89,248,50,8,1,PLAN_A,2024-10-06,2024-06-25 08:44:51.027099,PayPal,Standard Subscription,Monthly,12.99,Active,2024-11-06,1
1113,1113,CUST_01126,1,0,1,West Clintonberg,0,1,CODE_RESEARCH,1,PayPal,2025-03-17 00:07:00.000000,2025-03-17 00:07:00.000000,24.04,637.15,1,7947.84,7334.73,7334.73,7310.69,637.15,100.0,74,74,0,2,0,PLAN_B,2024-04-15,2024-09-16 12:49:33.982855,PayPal,Premium Subscription,Annual,119.99,Active,2025-04-15,1
1114,1114,CUST_01127,4,1,3,Davieston,1,4,CODE_RISK,2,PayPal,2024-06-18 00:01:00.000000,2024-12-08 13:17:36.892436,62.05,182.54,2,6939.21,6818.719999999999,1704.68,6756.669999999999,45.64,50.0,173,346,86,12,0,PLAN_B,2024-09-30,2024-06-24 20:57:54.435613,PayPal,Premium Subscription,Annual,119.99,Active,2025-09-30,0
1115,1115,CUST_01128,3,3,0,Erinchester,1,3,CODE_MODEL,1,Debit Card,2024-12-29 00:08:00.000000,2025-02-22 22:32:05.798178,37.68,741.28,3,5971.09,5267.49,1755.83,5229.81,247.09,100.0,97,152,51,5,1,PLAN_B,2024-02-05,2024-02-17 06:46:40.713764,PayPal,Premium Subscription,Annual,119.99,Active,2025-02-05,1
1116,1116,CUST_01129,5,4,1,North Williamville,1,4,CODE_DIFFERENT,2,Credit Card,2024-11-30 00:07:00.000000,2025-02-14 08:15:25.355726,79.47999999999999,610.46,4,3865.67,3334.69,666.94,3255.21,122.09,80.0,105,181,36,6,1,PLAN_A,2024-08-06,2024-04-20 22:11:06.810878,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-09-06,1
1117,1117,CUST_01130,2,1,1,Lake Michaelchester,1,2,CODE_ITS,2,Credit Card,2024-08-03 00:04:00.000000,2025-02-24 19:15:25.133286,21.61,684.9,2,6683.87,6020.58,3010.29,5998.97,342.45,100.0,95,300,150,10,0,PLAN_A,2024-02-07,2025-05-12 03:06:12.462861,PayPal,Standard Subscription,Monthly,12.99,Active,2024-03-07,1
